,index,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,genre,main_genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6
96,98,"['28', '35', '53', '10749']",37821,10.221,2010-06-04,5.8,1314,54,Killers,75000000.0,47059963.0,95572749.0,20572749,127.430332,"['Action', 'Comedy', 'Thriller', 'Romance']",Action,Comedy,Thriller,Romance,,,
97,99,"['35', '10749']",38303,10.208,2010-09-24,6.2,734,78,You Again,20000000.0,25702053.0,32838945.0,12838945,164.194725,"['Comedy', 'Romance']",Comedy,Romance,,,,,
98,100,"['27', '9648', '53']",44040,10.203,2010-09-17,5.9,1516,71,Devil,10000000.0,33679655.0,63354114.0,53354114,633.54114,"['Horror', 'Mystery', 'Thriller']",Horror,Mystery,Thriller,,,,
99,101,"['28', '12', '80', '9648', '53']",34813,10.202,2010-04-23,6.2,844,44,The Losers,25000000.0,23591432.0,29863840.0,4863840,119.45536,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",Action,Adventure,Crime,Mystery,Thriller,,
100,102,"['18', '53', '80', '9648']",44629,10.188,2010-08-13,6.8,399,71,Animal Kingdom,4200000.0,1044039.0,8078683.0,3878683,192.3495952380952,"['Drama', 'Thriller', 'Crime', 'Mystery']",Drama,Thriller,Crime,Mystery,,,
101,103,"['18', '53', '878']",43933,10.175,2010-10-29,6.2,848,50,Monsters,500000.0,237301.0,5639730.0,5139730,1127.946,"['Drama', 'Thriller', 'ScienceFiction']",Drama,Thriller,ScienceFiction,,,,
103,105,"['878', '35', '12']",23048,10.15,2010-03-26,6.0,1383,10,Hot Tub Time Machine,36000000.0,50269859.0,65967750.0,29967750,183.24375,"['ScienceFiction', 'Comedy', 'Adventure']",ScienceFiction,Comedy,Adventure,,,,
104,106,"['18', '10749', '878']",42188,10.012,2010-09-15,6.8,1294,29,Never Let Me Go,15000000.0,2434652.0,11173718.0,-3826282,74.49145333333334,"['Drama', 'Romance', 'ScienceFiction']",Drama,Romance,ScienceFiction,,,,
105,107,"['35', '18']",43923,10.01,2010-10-08,7.0,1324,1,It'S Kind Of A Funny Story,8000000.0,6363628.0,6632950.0,-1367050,82.911875,"['Comedy', 'Drama']",Comedy,Drama,,,,,
106,108,['18'],38167,9.991,2010-08-12,6.0,1208,67,Eat Pray Love,60000000.0,80574010.0,206598789.0,146598789,344.331315,['Drama'],Drama,,,,,,
107,109,"['35', '18', '10749']",37786,9.986,2010-05-27,5.9,809,16,Sex And The City 2,95000000.0,95347692.0,294680778.0,199680778,310.1902926315789,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,
108,110,"['35', '80', '18']",37495,9.968,2010-11-05,7.0,621,79,Four Lions,3750000.0,310007.0,2436111.0,-1313889,64.96296000000001,"['Comedy', 'Crime', 'Drama']",Comedy,Crime,Drama,,,,
109,111,"['28', '35', '18']",27573,9.861,2010-03-19,5.7,1627,73,The Bounty Hunter,45000000.0,67061228.0,135808837.0,90808837,301.7974155555556,"['Action', 'Comedy', 'Drama']",Action,Comedy,Drama,,,,
110,112,['18'],39013,9.824,2010-06-11,6.9,931,8,Winter'S Bone,2000000.0,6531503.0,16131551.0,14131551,806.5775500000001,['Drama'],Drama,,,,,,
111,113,"['18', '27', '9648', '53']",43931,9.808,2010-10-08,5.4,247,68,My Soul To Take,25000000.0,14744435.0,16727470.0,-8272530,66.90988,"['Drama', 'Horror', 'Mystery', 'Thriller']",Drama,Horror,Mystery,Thriller,,,
112,114,"['27', '9648', '53']",23437,9.795,2010-04-30,5.5,1408,49,A Nightmare On Elm Street,35000000.0,63075011.0,117729621.0,82729621,336.3703457142857,"['Horror', 'Mystery', 'Thriller']",Horror,Mystery,Thriller,,,,
113,115,"['10749', '18']",43949,9.781,2010-08-06,7.4,859,22,Flipped,14000000.0,1755212.0,4289993.0,-9710007,30.642807142857144,"['Romance', 'Drama']",Romance,Drama,,,,,
115,117,"['18', '27', '9648']",41402,9.716,2010-10-01,6.7,1061,38,Let Me In,20000000.0,12134935.0,28270399.0,8270399,141.351995,"['Drama', 'Horror', 'Mystery']",Drama,Horror,Mystery,,,,
117,119,['53'],44363,9.678,2010-02-05,5.8,987,56,Frozen,150000000.0,400738009.0,1272469910.0,1122469910,848.3132733333333,['Thriller'],Thriller,,,,,,
118,120,"['16', '12', '10751']",109445,26.183000000000003,2013-11-27,7.3,9767,56,Frozen,150000000.0,400738009.0,1272469910.0,1122469910,848.3132733333333,"['Animation', 'Adventure', 'Family']",Animation,Adventure,Family,,,,
119,121,"['14', '18']",34647,9.563,2010-09-24,7.3,773,77,Enter The Void,16000000.0,337997.0,1467278.0,-14532722,9.1704875,"['Fantasy', 'Drama']",Fantasy,Drama,,,,,
120,122,['99'],44639,9.514,2010-10-08,7.8,466,17,Inside Job,2000000.0,4311834.0,7799257.0,5799257,389.96285,['Documentary'],Documentary,,,,,,
