,original_title,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date
338,Animals,"Drama,Fantasy",6.2,758,Drama,Fantasy,,Marçal Forés,"director,writer,assistant_director",34,Animals,5500000.0,0.0,0.0,-5500000,0.0,2014-05-15
340,Animals,Drama,6.3,836,Drama,,,Collin Schiffli,"director,miscellaneous,producer",34,Animals,5500000.0,0.0,0.0,-5500000,0.0,2014-05-15
342,The Watch,"Action,Comedy,Horror",5.7,115757,Action,Comedy,Horror,Akiva Schaffer,"writer,director,soundtrack",27,The Watch,55000000.0,34353000.0,67130045.0,12130045,122.05462727272727,2012-07-27
343,Kung Fu Panda 2,"Action,Adventure,Animation",7.2,228465,Action,Adventure,Animation,Jennifer Yuh Nelson,"animation_department,art_department,director",74,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,514837547,443.22503133333333,2011-05-25
344,Yogi Bear,"Adventure,Animation,Comedy",4.6,18934,Adventure,Animation,Comedy,Eric Brevig,"visual_effects,director,assistant_director",62,Yogi Bear,80000000.0,100246011.0,204774690.0,124774690,255.96836249999998,2010-12-17
345,Standing Ovation,Musical,3.3,658,Musical,,,Stewart Raffill,"director,miscellaneous,writer",11,Standing Ovation,5600000.0,531806.0,531806.0,-5068194,9.496535714285715,2010-07-16
346,Our Family Wedding,"Comedy,Romance",4.9,6417,Comedy,Romance,,Rick Famuyiwa,"producer,director,writer",95,Our Family Wedding,14000000.0,20255281.0,21410546.0,7410546,152.93247142857143,2010-03-12
347,Mars Needs Moms,"Adventure,Animation,Family",5.4,19823,Adventure,Animation,Family,Simon Wells,"animation_department,director,art_department",94,Mars Needs Moms,150000000.0,21392758.0,39549758.0,-110450242,26.366505333333336,2011-03-11
348,Animal Kingdom,"Crime,Drama",7.3,51576,Crime,Drama,,David Michôd,"writer,producer,director",71,Animal Kingdom,4200000.0,1044039.0,8078683.0,3878683,192.34959523809522,2010-08-13
349,3 Backyards,Drama,5.0,611,Drama,,,Eric Mendelsohn,"writer,costume_department,producer",51,3 Backyards,300000.0,39475.0,39475.0,-260525,13.158333333333333,2010-01-24
